epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5652,0.97907,2.99328,6.69252,0.00617,8.57374,0,0,0,0,0,0,0,0,0.9906,4.24314,4.0779,0.0079,0,0.00017,0.00017,0.08317
2,16.9357,0.88947,1.8062,4.29542,0.00536,5.7654,0,0,0,0,0,0,0,0,0.88415,11.8453,4.48619,0.00761,0,0.000349991,0.000349991,0.06535
3,19.3042,0.89801,1.63945,3.49191,0.00538,4.51935,0.004,0.00556,0.00464,0.00371,0,0,0,0,0.85739,8.98743,4.12348,0.00705,0,0.000529942,0.000529942,0.0475299
4,21.7358,0.82293,1.49523,3.01239,0.00489,3.92483,0.14769,0.22478,0.17325,0.1427,0.14618,0.21812,0.17168,0.13246,0.73464,2.60921,3.76688,0.00598,0,0.000709827,0.000709827,0.0297098
5,24.074,0.81284,1.50203,2.65801,0.005,3.58108,0.0581,0.52589,0.18864,0.15629,0.0534,0.48112,0.17908,0.15294,0.61027,1.81066,3.41677,0.00515,0,0.000889614,0.000889614,0.0118896
6,26.4419,0.86752,1.32789,2.47965,0.00473,3.38347,0.03632,0.96343,0.41817,0.3489,0.03548,0.94438,0.38725,0.33708,0.65069,1.72417,2.6356,0.00533,0,0.000999322,0.000999322,0.000999322
7,28.763,0.79472,1.24024,2.26221,0.00455,3.22502,0.69189,0.29593,0.47345,0.39662,0.6543,0.28165,0.44271,0.38978,0.65543,1.82965,2.17075,0.00549,0,0.000999023,0.000999023,0.000999023
8,31.155,0.7551,1.14691,2.08377,0.00451,3.07061,0.51671,0.50199,0.55314,0.48719,0.49929,0.48771,0.52485,0.4648,0.61152,1.28902,1.76086,0.00492,0,0.000998671,0.000998671,0.000998671
9,33.4435,0.78663,1.16411,2.06378,0.00498,2.97715,0.44339,0.49914,0.54184,0.47273,0.43896,0.49437,0.53133,0.47795,0.65842,1.24288,1.7999,0.00532,0,0.000998264,0.000998264,0.000998264
10,35.7746,0.73583,1.26745,1.9164,0.00418,2.86755,0.45271,0.58559,0.59888,0.51724,0.45528,0.58216,0.58259,0.50986,0.64471,1.42987,1.61193,0.00527,0,0.000997803,0.000997803,0.000997803
